Name,City,Cuisine Style,Ranking,Rating,Number of Reviews
Ctaste,Amsterdam,"['European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",171,4,540
Blauw aan de Wal,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",172,4.5,344
The French Connection,Amsterdam,"['French', 'Asian', 'European', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",173,4.5,376
Restaurant Blauw Amsterdam,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",174,4.5,1044
Vlaamse Friet Snackland,Amsterdam,"['Dutch', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",175,4.5,328
Barney's Coffeeshop,Amsterdam,,176,4.5,498
De Pizzabakkers Haarlemmerdijk,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",177,4.5,231
The Avocado Show,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",178,4,284
Pancake en Burger Bar,Amsterdam,"['Dutch', 'European', 'Grill', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",179,4.5,155
Brouwerij de Prael,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",180,4.5,354
The Lebanese Sajeria,Amsterdam,"['Lebanese', 'Middle Eastern', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",181,5,72
VINNIES at Haarlemmerstraat (city center),Amsterdam,"['Cafe', 'International', 'European', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",182,4.5,260
Cau,Amsterdam,"['Steakhouse', 'European', 'Argentinean', 'South American', 'Gluten Free Options']",183,4,2647
Utrechtsedwarstafel,Amsterdam,"['French', 'Dutch', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",184,5,220
Momo,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",185,4,1359
Cafe-Restaurant de Plantage,Amsterdam,"['French', 'Dutch', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",186,4,724
Gauchos - Spuistraat,Amsterdam,"['Steakhouse', 'European', 'Argentinean', 'Gluten Free Options']",187,4,442
De Bekeerde Suster,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",188,4.5,400
IZAKAYA Asian Kitchen & Bar,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",189,4,583
Restaurant MOER,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",190,4.5,87
Pasta Factory,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",191,4.5,591
Indonesian Kitchen,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",192,4.5,126
Ramen-Ya Amsterdam,Amsterdam,"['Japanese', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",193,4,614
Long Pura,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",194,4,611
Cocotte,Amsterdam,"['French', 'Cafe', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",195,4.5,88
Yu Family Kitchen,Amsterdam,"['Chinese', 'Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",196,4.5,305
Bierfabriek Amsterdam,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Grill', 'Vegetarian Friendly']",197,4,847
The Old Bell,Amsterdam,"['Bar', 'European', 'British', 'Pub', 'Gastropub', 'Vegetarian Friendly']",198,4,377
Tasca Bellota,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Gluten Free Options']",199,4.5,365
